model,fmax_acc,cb_acc,alpha,k
babbage,0.6553464001552494,0.6735882010479333,-0.3,10
curie,0.7556763050650107,0.7898311663108869,-0.3,3
davinci,0.8043857946827091,0.8206869784591501,-0.2,3
ada,0.61517562584902,0.6658257325829614,-0.3,9
